price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type,price_crore
27500000,ready to move,2103,13076,3 bhk apartment in dlf the primus,sector 82a,neeraj co,FALSE,3,dlf the primus,dlf,apartment,0.0275
34000000,under construction,1967,17300,3 bhk apartment in krisumi waterfall residences,sector 36a,gromax india,TRUE,3,krisumi waterfall residences,krisumi,apartment,0.034
6200000,under construction,765,8104,2 bhk independent house,sector 104,sunrise property consultants,FALSE,2,outside socity,outside,plot,0.0062
28000000,under construction,1902,14750,3 bhk apartment in m3m golf hills phase 1,sector 79,ag luxury abodes,TRUE,3,m3m golf hills phase 1,m3m,apartment,0.028
27000000,ready to move,4500,6000,4 bhk independent floor in reputed builder sushant lok 3,sector 57,home,FALSE,4,reputed builder sushant lok 3,reputed,floor,0.027
4900000,ready to move,575,8521,2 bhk apartment,sector 93,property in gurgaon,FALSE,2,outside socity,outside,plot,0.0049
14500000,under construction,1751,8280,3 bhk apartment in eldeco acclaim,sector 2 sohna,properties for sale in gurgaon,TRUE,3,eldeco acclaim,eldeco,apartment,0.0145
18500000,ready to move,1550,11935,2 bhk apartment in puri emerald bay,sector 104,paramount associates,FALSE,2,puri emerald bay,puri,apartment,0.0185
1970000,under construction,220,8954,1 rk studio apartment in dlf magnolias,sector 42,n s associates,TRUE,1,dlf magnolias,dlf,apartment,0.00197
17100000,under construction,921,18566,1 bhk apartment in krisumi waterfall suites,sector 36a,mas infra,TRUE,1,krisumi waterfall suites,krisumi,apartment,0.0171
19300000,ready to move,1840,10500,3 bhk independent floor in ahuja builders 4,sector 23 gurgaon,mangalam infratech,FALSE,3,ahuja builders 4,ahuja,floor,0.0193
12500000,under construction,1454,8629,3 bhk independent floor in landmark avana 1st phase,sector 95,maa karni properties,TRUE,3,landmark avana 1st phase,landmark,floor,0.0125
28500000,ready to move,2010,14179,4 bhk apartment in tulip violet,sector 69,surya homes developers,FALSE,4,tulip violet,tulip,apartment,0.0285
25000000,ready to move,2660,9398,3 bhk apartment in bestech park view grand spa,sector 81,smart homzz,FALSE,3,bestech park view grand spa,bestech,apartment,0.025
22500000,ready to move,2215,10158,4 bhk apartment in dlf regal gardens,sector 90,wadhwa realtors,FALSE,4,dlf regal gardens,dlf,apartment,0.0225
25000000,ready to move,2550,9803,3 bhk independent floor,sector 57,silverkeys realestate,FALSE,3,outside socity,outside,plot,0.025
10500000,under construction,1550,6774,3 bhk independent floor in signature global park 1,sector 36 sohna,gravity advisors pvt ltd,TRUE,3,signature global park 1,signature,floor,0.0105
38000000,ready to move,2600,14615,4 bhk independent floor,sector 41,saryu chadha,FALSE,4,outside socity,outside,plot,0.038
33900000,ready to move,2675,12710,4 bhk apartment in bestech park view altura,sector 79,sandeep radhe associates,FALSE,4,bestech park view altura,bestech,apartment,0.0339
4300000,ready to move,500,8600,2 bhk apartment in rof aalayas,sector 102,rainbow realty rera-311,FALSE,2,rof aalayas,rof,apartment,0.0043
17200000,ready to move,2064,8333,3 bhk apartment in dlf new town heights 1,sector 90,sagar real estates s/c milestone buildspace pvt ltd,FALSE,3,dlf new town heights 1,dlf,apartment,0.0172
7970000,ready to move,980,8132,2 bhk apartment in umang winter hills,sector 77,amit,FALSE,2,umang w,umang,apartment,0.00797
145600000,under construction,4625,31500,4 bhk apartment in ireo grand hyatt,sector 58,dream house,TRUE,4,ireo grand hyatt,ireo,apartment,0.1456
12000000,ready to move,1283,9353,2 bhk apartment in experion the heartsong,sector 108,ads realty,FALSE,2,experion the heartsong,experion,apartment,0.012
8500000,new,1296,6558,residential plot,palam vihar extension,home,FALSE,0,outside socity,outside,plot,0.0085
11500000,resale,1260,9126,residential plot in bptp district 6 block l,sector 84,property in gurgaon,FALSE,6,bptp district 6 block l,bptp,plot,0.0115
22200000,resale,1602,13888,residential plot in raheja vanya city plots,sector 99a,properties for sale in gurgaon,TRUE,0,raheja vanya city plots,raheja,plot,0.0222
20000000,ready to move,1800,11111,3 bhk independent floor,sector 57,geeta properrties,FALSE,3,outside socity,outside,plot,0.02
5200000,ready to move,516,10077,2 bhk apartment in apex our homes,sector 37c,aashiana realtors,FALSE,2,apex our homes,apex,apartment,0.0052
12500000,ready to move,1430,8741,2 bhk apartment in vatika the seven lamps,sector 82,r m reality,FALSE,2,vatika the seven lamps,vatika,apartment,0.0125
14000000,ready to move,1800,7777,3 bhk independent floor,sector 57,vaishno associates,FALSE,3,outside socity,outside,plot,0.014
13200000,new,1485,8889,residential plot in faith ireo savannah,sector 35 sohna,defence realtors and developers,TRUE,0,faith ireo savannah,faith,plot,0.0132
22800000,ready to move,1965,11603,3 bhk apartment in saan verdante,sector 95,prime associates,FALSE,3,saan verdante,saan,apartment,0.0228
24600000,ready to move,2600,9462,4 bhk apartment in central park aqua front towers,sector 33 sohna,prop cue,FALSE,4,central park aqua front towers,central,apartment,0.0246
39000000,ready to move,2700,14444,4 bhk independent floor,sushant lok,shri sai realtors,FALSE,4,outside socity,outside,plot,0.039
172100000,ready to move,7650,22496,5 bhk villa in vipul tatvam villas,sector 48,dream home realty,FALSE,5,vipul tatvam villas,vipul,villa,0.1721
41500000,under construction,4500,9222,4 bhk independent floor,sector 24,thirty three estates developers,FALSE,4,outside socity,outside,plot,0.0415
95500000,ready to move,6371,15000,5 bhk apartment in m3m st andrews golf residences,sector 65,99 estates pvt ltd,FALSE,5,m3m st andrews golf residences,m3m,apartment,0.0955
13700000,new,1575,8761,residential plot in meffier golden park,sector 4 sohna,sachin,TRUE,0,meffier golden park,meffier,plot,0.0137
13400000,under construction,1496,9007,3 bhk apartment in signature global city 93,sector 93,whitehousz,TRUE,3,signature global city 93,signature,apartment,0.0134
18500000,ready to move,2000,9250,3 bhk independent floor in uppal southend,sector 49,yasir,FALSE,3,uppal southend,uppal,floor,0.0185
286000000,under construction,1300,220000,2 bhk apartment in m3m capital,sector 113,vijayata enterprises,TRUE,2,m3m capital,m3m,apartment,0.286
43800000,ready to move,2660,16500,3 bhk apartment in m3m merlin,sector 67,gurugram landbase,FALSE,3,m3m merl,m3m,apartment,0.0438
2380000,under construction,600,3966,2 bhk apartment in ganga tathastu,sector 4 sohna,investor's landbase,TRUE,2,ganga tathastu,ganga,apartment,0.00238
14400000,under construction,1528,9450,3 bhk apartment in m3m antalya hills phase i,sector 79,home,TRUE,3,m3m antalya hills phase i,m3m,apartment,0.0144
27500000,ready to move,2700,10185,4 bhk independent floor,sector 57,property in gurgaon,FALSE,4,outside socity,outside,plot,0.0275
22500000,ready to move,2430,9259,3 bhk independent floor in ansal versalia phase a1,sector 67,properties for sale in gurgaon,FALSE,3,ansal versalia phase a1,ansal,floor,0.0225
7000000,ready to move,915,7650,2 bhk apartment in suncity avenue 102,sector 102,mm india pvt ltd,FALSE,2,suncity avenue 102,suncity,apartment,0.007
37000000,ready to move,2000,18500,3 bhk apartment in central park tower c,sector 48,seller,FALSE,3,central park tower c,central,apartment,0.037
32500000,ready to move,4300,7558,4 bhk independent floor,sector 49,seller,FALSE,4,outside socity,outside,plot,0.0325
14000000,ready to move,1231,11372,3 bhk independent floor in reputed builder sushant lok 3,sector 57,seller,FALSE,3,reputed builder sushant lok 3,reputed,floor,0.014
32500000,ready to move,3200,10156,4 bhk independent floor in dhara malibu town floors,sector 47,seller,FALSE,4,dhara malibu town floors,dhara,floor,0.0325
20000000,ready to move,1700,11764,3 bhk independent floor,sector 57,seller,FALSE,3,outside socity,outside,plot,0.02
27000000,ready to move,3000,9000,3 bhk independent floor in reputed builder huda colony,sector 46,seller,FALSE,3,reputed builder huda colony,reputed,floor,0.027
25000000,ready to move,900,27777,2 bhk independent house in surendra luxury floor 45,sector 45,seller,FALSE,2,surendra luxury floor 45,surendra,house,0.025
6500000,ready to move,715,9090,2 bhk apartment in pyramid urban homes 2,sector 86,seller,FALSE,2,pyramid urban homes 2,pyramid,apartment,0.0065
26000000,ready to move,2200,11818,3 bhk independent floor,sector 47,seller,FALSE,3,outside socity,outside,plot,0.026
20000000,ready to move,2300,8695,3 bhk independent floor in reputed builder huda colony,sector 46,seller,FALSE,3,reputed builder huda colony,reputed,floor,0.02
18000000,ready to move,1700,10588,3 bhk independent floor in reputed builder huda colony,sector 46,seller,FALSE,3,reputed builder huda colony,reputed,floor,0.018
23000000,ready to move,2340,9829,3 bhk independent floor in ansal esencia,sector 67,seller,FALSE,3,ansal esencia,ansal,floor,0.023
18000000,ready to move,900,20000,1 bhk independent house,sector 45,seller,FALSE,1,outside socity,outside,plot,0.018
15000000,ready to move,1700,8823,3 bhk independent floor in vipul world plots,sector 48,seller,FALSE,3,vipul world plots,vipul,floor,0.015
60200000,ready to move,2150,28000,3 bhk apartment in dlf park place,sector 54,seller,FALSE,3,dlf park place,dlf,apartment,0.0602
84800000,ready to move,3395,25000,4 bhk apartment in conscient hines elevate,sector 59,seller,FALSE,4,conscient h,conscient,apartment,0.0848
46000000,ready to move,2095,22000,3 bhk apartment in conscient hines elevate,sector 59,home,FALSE,3,conscient h,conscient,apartment,0.046
76100000,ready to move,2721,28000,4 bhk apartment in dlf park place,sector 54,property in gurgaon,FALSE,4,dlf park place,dlf,apartment,0.0761
50400000,ready to move,2295,22000,3 bhk apartment in conscient hines elevate,sector 59,properties for sale in gurgaon,FALSE,3,conscient h,conscient,apartment,0.0504
55300000,ready to move,1975,28000,3 bhk apartment in dlf park place,sector 54,seller,FALSE,3,dlf park place,dlf,apartment,0.0553
52500000,ready to move,1875,28000,3 bhk apartment in dlf park place,sector 54,seller,FALSE,3,dlf park place,dlf,apartment,0.0525
46900000,ready to move,1677,28000,2 bhk apartment in dlf park place,sector 54,seller,FALSE,2,dlf park place,dlf,apartment,0.0469
79900000,under construction,3978,20110,4 bhk apartment in dlf the arbour,sector 63,seller,TRUE,4,dlf the arbour,dlf,apartment,0.0799
57000000,ready to move,2595,22000,3 bhk apartment in conscient hines elevate,sector 59,seller,FALSE,3,conscient h,conscient,apartment,0.057
70000000,under construction,3950,17722,4 bhk apartment in dlf the arbour,sector 63,seller,TRUE,4,dlf the arbour,dlf,apartment,0.07
75700000,ready to move,2704,28000,4 bhk apartment in dlf park place,sector 54,seller,FALSE,4,dlf park place,dlf,apartment,0.0757
67800000,under construction,2073,32706,4 bhk apartment in anant raj the estate residences,sector 63a,seller,TRUE,4,anant raj the estate residences,anant,apartment,0.0678
55500000,ready to move,1983,28000,3 bhk apartment in dlf park place,sector 54,seller,FALSE,3,dlf park place,dlf,apartment,0.0555
55500000,ready to move,1985,28000,2 bhk apartment in dlf park place,sector 54,seller,FALSE,2,dlf park place,dlf,apartment,0.0555
71400000,ready to move,2550,28000,4 bhk apartment in dlf park place,sector 54,seller,FALSE,4,dlf park place,dlf,apartment,0.0714
